Quadra,Numero_de_Lotes,Tamanho_por_lote,Area
1,1,312.22,312.22
1,2,282.62,565.24
1,1,328.82,328.82
1,34,250,8500
2,36,250,9000
3,1,315.89,315.89
3,1,329.6,329.6
3,14,250,3500
4,1,383.82,383.82
4,1,402.62,402.62
4,8,367.5,2940
5,3,282.62,847.86
5,1,282.61,282.61
5,28,250,7000
6,34,253.096470588235,8605.28
7,32,254.0771875,8130.47
8,22,253.079545454545,5567.75
9,33,332.971818181818,10988.07
10,7,277.111428571429,1939.78
11,21,255.291428571429,5361.12
12,12,295.546666666667,3546.56
13,10,254.368,2543.68
14,3,290.383333333333,871.15
15,7,286.604285714286,2006.23
16,8,255.5775,2044.62
17,8,285.94875,2287.59
18,19,261.833684210526,4974.84
19,23,258.660869565217,5949.2
20,29,251.35275862069,7289.23
21,31,258.647096774194,8018.06
22,39,253.675641025641,9893.35
23,41,255.760731707317,10486.19
24,47,255.384680851064,12003.08
25,49,255.89,12538.61
26,25,255.4172,6385.43
27,29,257.863103448276,7478.03
28,16,256.133125,4098.13
29,15,252.012666666667,3780.19
30,17,272.427647058824,4631.27
31,12,255.545833333333,3066.55
32,9,260.928888888889,2348.36
